Name,Team,Pos,Opp,Salary,SS Proj,Own,Adj Own,p25,p50,p75,p85,p95,p99,Status
Tez Johnson,TB,WR,vs MIN,3000,2.22,0.08,0.03,0.0,1.4,3.2,4.7,9.0,12.8,
Devontez Walker,BAL,WR,at DAL,3500,2.19,0.10,0.04,0.0,0.0,2.8,5.0,10.5,15.6,
Jaleel McLaughlin,CLE,RB,vs CAR,4000,2.18,,0.00,0.2,1.6,3.1,4.2,7.4,11.5,
Travis Hunter,JAX,WR,vs NE,3100,2.08,0.02,0.00,0.0,1.1,3.0,4.4,8.6,12.6,
KaVontae Turpin,DAL,WR,vs BAL,3000,2.06,0.21,0.09,0.0,1.1,2.8,4.2,8.7,12.3,
Mitchell Evans,CAR,TE,at CLE,2500,2.05,0.01,0.00,0.0,1.5,2.9,4.1,8.2,12.6,
Ray Davis,BUF,RB,vs LAC,4400,2.04,,0.00,0.4,1.2,2.6,3.8,8.2,11.8,
KhaDarel Hodge,SF,WR,vs ARI,3000,2.03,0.06,0.02,0.0,1.0,2.8,4.2,8.9,13.1,
Nick Singleton,TEN,RB,at NYG,4000,1.91,,0.00,0.2,0.9,2.2,3.6,8.4,11.2,
Jaylen Wright,MIA,RB,vs KC,4000,1.91,,0.00,0.4,1.2,2.4,3.4,7.7,10.9,D
Kaytron Allen,WAS,RB,vs SEA,4300,1.84,,0.00,0.4,1.0,2.1,3.1,7.8,10.4,
Nate Boerkircher,JAX,TE,vs NE,2500,1.80,0.01,0.00,0.0,1.1,2.5,3.7,7.8,11.8,
Mo Alie-Cox,IND,TE,vs HOU,2500,1.74,0.01,0.00,0.0,0.0,2.3,3.6,8.4,12.7,
Blake Whiteheart,CLE,TE,vs CAR,2500,1.74,0.08,0.03,0.0,1.1,2.4,3.5,7.9,11.8,
Jalen Tolbert,MIA,WR,vs KC,3000,1.69,0.01,0.00,0.0,0.0,2.5,3.8,7.6,11.8,
Dohnte Meyers,CIN,WR,at PIT,3000,1.67,0.04,0.01,0.0,0.0,2.4,3.7,7.8,11.6,
Hunter Luepke,DAL,RB,vs BAL,4000,1.66,0.01,0.00,0.0,0.8,2.1,3.1,7.4,11.0,
Ollie Gordon II,MIA,RB,vs KC,4000,1.59,,0.00,0.1,1.0,1.9,2.8,7.3,10.0,
Brevyn Spann-Ford,DAL,TE,vs BAL,2500,1.57,0.10,0.04,0.0,0.0,2.1,3.2,7.5,11.9,
Malik Benson,LV,WR,at NO,3000,1.53,0.14,0.06,0.0,0.1,2.1,3.2,7.5,11.8,
John Metchie III,CAR,WR,at CLE,3000,1.53,0.06,0.02,0.0,0.0,1.8,3.1,9.0,11.7,
LeQuint Allen Jr.,JAX,RB,vs NE,4000,1.51,,0.00,0.0,0.9,2.1,3.1,5.6,10.1,
Derius Davis,LAC,WR,at BUF,3000,1.50,0.03,0.01,0.0,0.0,2.1,3.3,7.3,12.1,
Luke Schoonmaker,DAL,TE,vs BAL,2500,1.50,0.05,0.01,0.0,0.0,2.1,3.1,7.1,11.3,
Will Kacmarek,MIA,TE,vs KC,2500,1.47,0.05,0.01,0.0,0.0,2.1,3.2,5.8,10.5,
Ameer Abdullah,JAX,RB,vs NE,4000,1.47,,0.00,0.1,0.7,1.9,2.7,6.5,9.8,
Colson Yankoff,WAS,TE,vs SEA,2500,1.45,,0.00,0.0,0.0,1.9,3.0,7.9,11.4,
DJ Herman,MIA,RB,vs KC,4000,1.42,,0.00,0.0,0.0,2.0,3.0,5.8,10.4,
Tory Horton,SEA,WR,at WAS,3000,1.41,,0.00,0.0,0.0,2.0,3.0,7.7,12.0,
Brock Wright,DET,TE,vs NYJ,2500,1.41,0.05,0.01,0.0,0.0,1.7,2.7,8.8,12.2,
Quintin Morris,JAX,TE,vs NE,2500,1.38,0.03,0.01,0.0,0.0,2.0,2.9,6.7,10.9,
Durham Smythe,BAL,TE,at DAL,2500,1.35,0.02,0.00,0.0,0.0,2.0,2.9,6.2,10.7,
Josh Cameron,JAX,WR,vs NE,3000,1.26,,0.00,0.0,0.0,1.9,2.8,6.2,10.6,
Cody White,LV,WR,at NO,3200,1.26,0.04,0.01,0.0,0.0,1.9,2.8,5.8,10.6,
Deion Burks,IND,WR,vs HOU,3300,1.21,0.01,0.00,0.0,0.0,1.8,2.6,6.1,10.3,
Colbie Young,CIN,WR,at PIT,3000,1.19,,0.00,0.0,0.0,1.9,2.7,5.6,9.8,
Jalen Royals,KC,WR,at MIA,3000,1.18,0.09,0.03,0.0,0.0,1.8,2.6,5.7,10.7,
Jordan James,SF,RB,vs ARI,4000,1.17,,0.00,0.0,0.4,1.5,2.3,5.9,9.3,
Elijah Higgins,ARI,TE,at SF,2500,1.17,,0.00,0.0,0.0,1.7,2.6,4.8,9.7,
CJ Donaldson,NO,RB,vs LV,4000,1.15,,0.00,0.0,0.4,1.5,2.3,6.0,9.3,
Drew Ogletree,IND,TE,vs HOU,2500,1.13,,0.00,0.0,0.0,1.7,2.5,5.7,10.9,
Hunter Long,ARI,TE,at SF,2500,1.11,0.01,0.00,0.0,0.0,1.7,2.4,4.6,9.8,
Jackson Hawes,BUF,TE,vs LAC,2500,1.08,0.01,0.00,0.0,0.0,1.6,2.4,5.3,10.6,
Chimere Dike,TEN,WR,at NYG,3000,1.06,,0.00,0.0,0.0,1.7,2.3,4.3,9.2,
Oscar Delp,NO,TE,vs LV,2500,1.03,0.02,0.00,0.0,0.0,1.6,2.3,4.8,10.3,
Ben Skowronek,PIT,WR,vs CIN,3000,0.99,0.01,0.00,0.0,0.0,1.7,2.3,4.5,9.1,
Treylon Burks,WAS,WR,vs SEA,3000,0.98,,0.00,0.0,0.0,1.6,2.3,4.6,10.4,
Matt Hibner,BAL,TE,at DAL,2500,0.96,0.03,0.01,0.0,0.0,1.5,2.2,4.7,10.0,
Brady Russell,SEA,RB,at WAS,4000,0.95,,0.00,0.0,0.0,1.5,2.0,4.0,9.9,
Marlin Klein,HOU,TE,at IND,2500,0.94,0.04,0.01,0.0,0.0,1.4,2.1,4.4,10.2,
Jonathan Mingo,DAL,WR,vs BAL,3000,0.93,0.12,0.05,0.0,0.0,1.5,2.2,4.4,9.6,
Connor Heyward,LV,RB,at NO,4000,0.93,,0.00,0.0,0.1,1.1,1.8,6.1,9.2,
Lewis Bond,HOU,WR,at IND,3000,0.92,,0.00,0.0,0.0,1.5,2.2,4.2,9.5,
Brycen Tremayne,CAR,WR,at CLE,3000,0.89,0.07,0.02,0.0,0.0,1.4,2.1,4.2,9.5,
