Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
42,5261319531,jkaduk,0,192.26,DST Steelers  FLEX Caleb Douglas QB Dak Prescott RB Omarion Hampton RB Aaron Jones Sr. TE Dalton Schultz WR Ja'Marr Chase WR CeeDee Lamb WR Jaylen Waddle,,Mark Andrews,TE,5.17%,10.9
43,5261465904,honskmier,0,191.56001,DST Buccaneers  FLEX CeeDee Lamb QB Dak Prescott RB D'Andre Swift RB Aaron Jones Sr. TE Dalton Schultz WR Ja'Marr Chase WR Parker Washington WR Rashod Bateman,,Titans ,DST,5.01%,7
44,5262347485,djohnson101,0,190.96,DST Browns  FLEX George Pickens QB Dak Prescott RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Roman Wilson,,Deebo Samuel Sr.,WR,4.94%,6.5
45,5259740442,XxkingkeenanxX,0,190.36,DST Panthers  FLEX Aaron Jones Sr. QB Dak Prescott RB Derrick Henry RB David Montgomery TE Dalton Schultz WR CeeDee Lamb WR George Pickens WR Stefon Diggs,,David Montgomery,RB,4.86%,4.4
46,5261386609,wesleymmm,0,189.85999,DST Buccaneers  FLEX Stefon Diggs QB Dak Prescott RB Derrick Henry RB Aaron Jones Sr. TE Dalton Schultz WR Ja'Marr Chase WR CeeDee Lamb WR Devaughn Vele,,Bucky Irving,RB,4.84%,13
47,5263606209,dublinking (5/6),0,189.78,DST Jets  FLEX Devaughn Vele QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Deebo Samuel Sr.,,Caleb Williams,QB,4.82%,8.72
47,5263606210,dublinking (6/6),0,189.78,DST Jets  FLEX Devaughn Vele QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Deebo Samuel Sr.,,Rashod Bateman,WR,4.62%,21.8
49,5262920083,NeverWorking (1/20),0,189.12001,DST Panthers  FLEX Derrick Henry QB Carson Wentz RB Saquon Barkley RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Matthew Golden,,Luther Burden III,WR,4.51%,6.2
49,5262920117,NeverWorking (2/20),0,189.12001,DST Panthers  FLEX Derrick Henry QB Carson Wentz RB Saquon Barkley RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Matthew Golden,,Caleb Douglas,WR,4.49%,3.9
49,5262920670,NeverWorking (3/20),0,189.12001,DST Panthers  FLEX Derrick Henry QB Carson Wentz RB Saquon Barkley RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Matthew Golden,,Broncos ,DST,4.45%,8
49,5262929880,NeverWorking (4/20),0,189.12001,DST Panthers  FLEX Derrick Henry QB Carson Wentz RB Saquon Barkley RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Matthew Golden,,Cardinals ,DST,4.45%,2
49,5262930222,NeverWorking (5/20),0,189.12001,DST Panthers  FLEX Derrick Henry QB Carson Wentz RB Saquon Barkley RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Matthew Golden,,Jets ,DST,3.72%,6
49,5262930282,NeverWorking (6/20),0,189.12001,DST Panthers  FLEX Derrick Henry QB Carson Wentz RB Saquon Barkley RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Matthew Golden,,Xavier Hutchinson,WR,3.70%,6.7
49,5262930320,NeverWorking (7/20),0,189.12001,DST Panthers  FLEX Derrick Henry QB Carson Wentz RB Saquon Barkley RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Matthew Golden,,Steelers ,DST,3.57%,8
49,5262930364,NeverWorking (8/20),0,189.12001,DST Panthers  FLEX Derrick Henry QB Carson Wentz RB Saquon Barkley RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Matthew Golden,,Saquon Barkley,RB,3.52%,3
49,5262930398,NeverWorking (9/20),0,189.12001,DST Panthers  FLEX Derrick Henry QB Carson Wentz RB Saquon Barkley RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Matthew Golden,,Eagles ,DST,3.49%,3
49,5262930432,NeverWorking (10/20),0,189.12001,DST Panthers  FLEX Derrick Henry QB Carson Wentz RB Saquon Barkley RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Matthew Golden,,Quentin Johnston,WR,3.48%,2.4
49,5262930610,NeverWorking (11/20),0,189.12001,DST Panthers  FLEX Derrick Henry QB Carson Wentz RB Saquon Barkley RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Matthew Golden,,Patriots ,DST,3.32%,21
